# lir   elecOccup_1el_11       elecOccup_1el_12    elecOccup_1el_13    elecOccup_1el_22       elecOccup_1ir_11      elecOccup_1ir_12    elecOccup_1ir_13     elecOccup_1ir_22      elecOccup_grd_11      elecOccup_grd_12    elecOccup_grd_13     elecOccup_grd_22
 0.1263 8.942448214253175e-28  0.2108430613356294  0.07831387732870179 4.024202823211894e-27  0.003251186299088913  0.2143387740505129	0.06046865951034921  0.01520521217906663   0.003042326703295942	 0.2089036459599199  0.07078454580374728  0.01673167114627887
 0.13   1.064014137519722e-28  0.2126460910546458  0.07470781789077698 4.47766459026647e-28   0.003290349847167308  0.2152321558549473	0.0587646847017636   0.01496130748226909   0.003088641802667021	 0.2100670233461048  0.06857277485231608  0.01640907330569046
 0.14   3.709450605906548e-29  0.217726865609511   0.06454626878099066 1.532663146004141e-28  0.003407769746256868  0.2177771766284834	0.05390378795217334  0.01426817808928426   0.003252985881522821	 0.2140143708183969  0.06105945327169946  0.0153176384198692
 0.15   1.042949290985282e-28  0.2222120207382848  0.05557595852324064 3.731021999499558e-28  0.00354065301766915   0.2204154368365803	0.04885312316484029  0.01355070028847814   0.00345327044164944	 0.2184247106937695  0.05264534305820602  0.01410393022538761
 0.16   1.432338631563049e-28  0.2257452062914026  0.04850958741802917 5.023131627614127e-28  0.003685499168080206  0.2229980211590608	0.04389519954484256  0.01284651793444464   0.003647771228161949	 0.2222017169923979  0.04541499599622215  0.01306759758508744
 0.17   1.292441589660983e-28  0.2285561203904233  0.0428877592195482  3.471605059003034e-28  0.00383849689393383   0.2253978512670741	0.03927261634779147  0.01218636843934577   0.003824790685412572	 0.2251322805027621  0.03978050405265747  0.01226028852171291
 0.18   1.857920150121871e-28  0.2308917160281898  0.03821656794458213 5.938345390794219e-28  0.003997409209627975  0.2275496312447824	0.03511121673879621  0.01158422311256779   0.00399296462233191	 0.2274711803034709  0.03526157258555699  0.01160620438180562
 0.19   3.743138822630724e-26  0.2328966659556905  0.03420666811831687 1.105028976744168e-25  0.00416204992121405   0.2294449487720865	0.03142837077697817  0.0110393636803097	   0.004160731107163776	 0.2294238879075538  0.03146882828850113  0.01104532941342021
 0.20   1.40704068874172e-26   0.2346494452220762  0.03070111001974492 5.751054368271373e-26  0.004333650325867244  0.2311051541222792	0.02818406079909179  0.01054396116253588   0.004333288628719382	 0.2310999610627647  0.02819406191260255  0.01054545476469985
 0.21   2.566605871170074e-27  0.236196414503134   0.02760716975944515 3.464164388033026e-27  0.004514120107173098  0.232559612273514	0.02532221619022041  0.01008887822032616   0.00451402802105681	 0.2325584305830597  0.02532449846231971  0.01008922479184331
 0.22   7.162976620881152e-28  0.2375687597057054  0.02486247658417628 1.654273732551504e-27  0.004705639585756168  0.2338357821254977	0.02278970725747214  0.009666177832131707  0.004705617781026698	 0.2338355333982466  0.02279018915529132  0.009666252513792573
 0.23   6.002428719055955e-28  0.2387898344467179  0.02242026801397964 6.580732204630873e-28  0.004910533208084864  0.2349565507062403	0.02054143976293891  0.009269659320977581  0.004910530398993281	 0.234956597203502   0.02054153401167058  0.009269674276685074
 0.24   1.762642935734979e-28  0.2398784995261032  0.02024295644296839 1.835942883260985e-28  0.005131296973967933  0.2359409567068528	0.0185400990785856   0.008894662611944942  0.005131282140099421	 0.2359403141152296  0.01854011615952883  0.008894665395366949
 0.25   3.100212658883832e-28  0.2408504089796279  0.01829908718289235 3.127857324669849e-28  0.005370614365212712  0.2368024910355636	0.01675465000178379  0.008537723664579729  0.005370634248153433	 0.2368033712690179  0.01675465287049259  0.008537724145827683

